nom,category_id,categorie,prix_initial,prix_optimal,stock,date_expiration,jours_avant_expiration,supermarche,zone
Yaourt le grand brassé saveur pistache,1,Produits Laitiers,0.62,,0,,,Carrefour,Sousse
Yaourt le grand brassé saveur fraise,1,Produits Laitiers,0.62,,0,,,Carrefour,Ariana
Yaourt le grand brassé saveur vanille,1,Produits Laitiers,0.62,,0,,,Carrefour,Tunis
Yaourt aux fruits mixés mangue,1,Produits Laitiers,0.72,,0,,,Carrefour,Sousse
Yaourt aux fruits mixés à la pulpe de fraise,1,Produits Laitiers,0.72,,0,,,Carrefour,Ariana
Yaourt brassé aux morceaux de cerise,1,Produits Laitiers,0.84,,0,,,Carrefour,Tunis
Yaourt à boire  vit'up,1,Produits Laitiers,0.93,,0,,,Carrefour,Sousse
Fromage mozzarella 100% Lait,1,Produits Laitiers,39.6,,0,,,Carrefour,Ariana
Fromage ricotta,1,Produits Laitiers,3.69,,0,,,Carrefour,Tunis
Camembert du nord ouest,1,Produits Laitiers,15.99,,0,,,Carrefour,Sousse
Fromage cheddar,1,Produits Laitiers,52.7,,0,,,Carrefour,Ariana
Lait concentré sucré,1,Produits Laitiers,7.85,,0,,,Carrefour,Tunis
Fromage fondu râpé,1,Produits Laitiers,31.41,,0,,,Carrefour,Sousse
Crème dessert chocolat liégeois,1,Produits Laitiers,0.79,,0,,,Carrefour,Ariana
Yaourt à boire café,1,Produits Laitiers,1.05,,0,,,Carrefour,Tunis
Pack de yaourts bifi 0% aux morceaux des fruits de bois,1,Produits Laitiers,3.15,,0,,,Carrefour,Sousse
Yaourt brassé saveur tarte framboise,1,Produits Laitiers,0.43,,0,,,Carrefour,Ariana
Fromage mozzarelle 100% lait,1,Produits Laitiers,41.9,,0,,,Carrefour,Tunis
Fromage fondu râpé au gruyère Milkana,1,Produits Laitiers,18.88,,0,,,Carrefour,Sousse
"Lait fermenté ""Leben"" à l'eau de rose",1,Produits Laitiers,1.25,,0,,,Carrefour,Ariana
Yaourt brassé aux céréales et aux fruits des bois Misto,1,Produits Laitiers,1.15,,0,,,Carrefour,Tunis
"Lait fermenté ""Leben""",1,Produits Laitiers,1.79,,0,,,Carrefour,Sousse
Yaourt brassé aux céréales et aux fruits exotiques Misto,1,Produits Laitiers,1.21,,0,,,Carrefour,Ariana
"Lait caillé ""Raieb""",1,Produits Laitiers,1.99,,0,,,Carrefour,Tunis
Fromage râpé affiné 100% lait,1,Produits Laitiers,37.6,,0,,,Carrefour,Sousse
Yaourt à boire Protéiné et 0% de matières grasses,1,Produits Laitiers,6.49,,0,,,Carrefour,Ariana
Lait écrémé Barista U.H.T,1,Produits Laitiers,2.35,,0,,,Carrefour,Tunis
Râpé 4 fromages,1,Produits Laitiers,14.3,,0,,,Carrefour,Sousse
Fromage râpé fondu,1,Produits Laitiers,32.6,,0,,,Carrefour,Ariana
Fromage tartare trois poivres,1,Produits Laitiers,4.4,,0,,,Carrefour,Tunis
Fromage Gouda fumé,1,Produits Laitiers,57.6,,0,,,Carrefour,Sousse
Fromage mozzarella,1,Produits Laitiers,45.5,,0,,,Carrefour,Ariana
Yaourt aux fruits fraise,1,Produits Laitiers,0.87,,0,,,Carrefour,Tunis
Lait entier U.H.T,1,Produits Laitiers,2.55,,0,,,Carrefour,Sousse
"Lait fermenté ""Leben"" aux probiotiques",1,Produits Laitiers,1.78,,0,,,Carrefour,Ariana
Yaourt brassé saveur biscuit citron,1,Produits Laitiers,0.43,,0,,,Carrefour,Tunis
"Yaourt brassé aux figues, amandes, noix et miel",1,Produits Laitiers,0.84,,0,,,Carrefour,Sousse
Yaourt brassé saveur biscuit vanille,1,Produits Laitiers,0.43,,0,,,Carrefour,Ariana
Yaourt à boire aux fruits des bois Max,1,Produits Laitiers,1.76,,0,,,Carrefour,Tunis
Yaourt brassé à la vanille,1,Produits Laitiers,0.62,,0,,,Carrefour,Sousse
Yaourt à boire vanille Max,1,Produits Laitiers,1.76,,0,,,Carrefour,Tunis
Yaourt brassé caramel banane,1,Produits Laitiers,0.43,,0,,,Carrefour,Sousse
Yaourt brassé saveur biscuit fraise,1,Produits Laitiers,0.43,,0,,,Carrefour,Ariana
Yaourt brassé à la fraise,1,Produits Laitiers,0.62,,0,,,Carrefour,Tunis
Yaourt à boire fraise Max,1,Produits Laitiers,1.76,,0,,,Carrefour,Sousse
Yaourt à boire citron Natiyo,1,Produits Laitiers,1.22,,0,,,Carrefour,Ariana
Yaourt à boire To Go fraise banane,1,Produits Laitiers,1.2,,0,,,Carrefour,Tunis
Yaourt à boire céréales banane Natiyo,1,Produits Laitiers,1.2,,0,,,Carrefour,Sousse
Fromage Whey pro protéines goût vanille,1,Produits Laitiers,3.89,,0,,,Carrefour,Ariana
Yaourt à boire pêche abricot Natiyo,1,Produits Laitiers,1.76,,0,,,Carrefour,Tunis
Fromage Whey pro protéines goût café,1,Produits Laitiers,3.89,,0,,,Carrefour,Sousse
Fromage Whey pro protéines goût framboise,1,Produits Laitiers,3.89,,0,,,Carrefour,Ariana
Yaourt aux fruits mûre et myrtille,1,Produits Laitiers,0.87,,0,,,Carrefour,Tunis
Yaourt aux fruits pêche abricot,1,Produits Laitiers,0.87,,0,,,Carrefour,Sousse
Crème dessert montagne de goût chocolat noisette,1,Produits Laitiers,0.9,,0,,,Carrefour,Ariana
Boisson lactée goût fraise banane Danao,1,Produits Laitiers,1.0,,0,,,Carrefour,Tunis
Tomme de Bizerte,1,Produits Laitiers,50.5,,0,,,Carrefour,Sousse
Fromage Pecorino,1,Produits Laitiers,59.6,,0,,,Carrefour,Ariana
Fromage Gouda,1,Produits Laitiers,54.4,,0,,,Carrefour,Tunis
Fromage edam rouge,1,Produits Laitiers,54.4,,0,,,Carrefour,Sousse
Fromage FETA,1,Produits Laitiers,37.5,,0,,,Carrefour,Ariana
Fromage fondu au cheddar,1,Produits Laitiers,4.79,,0,,,Carrefour,Tunis
Fromage fondu sucette Fromagy,1,Produits Laitiers,1.0,,0,,,Carrefour,Sousse
Crème de cuisson,1,Produits Laitiers,4.98,,0,,,Carrefour,Ariana
Fromage camembert traditionnel,1,Produits Laitiers,53.4,,0,,,Carrefour,Tunis
Fromage frais au poivre Rondelé,1,Produits Laitiers,3.3,,0,,,Carrefour,Sousse
Crème de cuisson,1,Produits Laitiers,7.99,,0,,,Carrefour,Ariana
Fromage frais ail & fines herbes Rondelé,1,Produits Laitiers,5.24,,0,,,Carrefour,Tunis
Fromage mozzarelle Boccon,1,Produits Laitiers,7.62,,0,,,Carrefour,Sousse
Sauce cheddar,1,Produits Laitiers,9.48,,0,,,Carrefour,Ariana
Fromage à tartiner nature,1,Produits Laitiers,4.4,,0,,,Carrefour,Tunis
Crème fraîche,1,Produits Laitiers,2.49,,0,,,Carrefour,Sousse
Beurre extra fin,1,Produits Laitiers,45.3,,0,,,Carrefour,Ariana
Yaourt chocolat liégeois,1,Produits Laitiers,0.99,,0,,,Carrefour,Tunis
Fromage à raclette à la truffe,1,Produits Laitiers,71.3,,0,,,Carrefour,Sousse
Fromage à raclette fumé,1,Produits Laitiers,66.3,,0,,,Carrefour,Ariana
Fromage à raclette nature,1,Produits Laitiers,61.2,,0,,,Carrefour,Tunis
Fromage gouda à l'ail noir,1,Produits Laitiers,72.6,,0,,,Carrefour,Sousse
Pack yaourt brassé,1,Produits Laitiers,4.92,,0,,,Carrefour,Ariana
Œufs jaune orange,1,Produits Laitiers,7.79,,0,,,Carrefour,Tunis
Fromage fondu spécial hamburger,1,Produits Laitiers,10.0,,0,,,Carrefour,Sousse
Ricotta demi-sel  5% matière grasse,1,Produits Laitiers,16.9,,0,,,Carrefour,Ariana
Œufs d'or,1,Produits Laitiers,14.25,,0,,,Carrefour,Tunis
Fromage fondu à tartiner Tarti doux,1,Produits Laitiers,5.64,,0,,,Carrefour,Sousse
Yaourt brassé mamzouj citron vert,1,Produits Laitiers,0.6,,0,,,Carrefour,Ariana
Œufs frais jaune-Junior,1,Produits Laitiers,9.99,,0,,,Carrefour,Tunis
Yaourt à boire pêche abricot TipTop,1,Produits Laitiers,1.55,,0,,,Carrefour,Sousse
Fromage mozzarella,1,Produits Laitiers,10.38,,0,,,Carrefour,Ariana
Fromage camembert Couteaux & Plateaux,1,Produits Laitiers,11.59,,0,,,Carrefour,Tunis
Crème dessert Plaisir caramel chocolat,1,Produits Laitiers,0.87,,0,,,Carrefour,Sousse
Fromage frais,1,Produits Laitiers,3.69,,0,,,Carrefour,Tunis
Boisson lactée goût pomme kiwi mangue Danao,1,Produits Laitiers,1.18,,0,,,Carrefour,Sousse
Yaourt à boire Danup fraise hawai bleu,1,Produits Laitiers,1.22,,0,,,Carrefour,Ariana
Yaourt brassé aux fruits secs,1,Produits Laitiers,0.84,,0,,,Carrefour,Tunis
Yaourt à boire Ptit délice fraise,1,Produits Laitiers,0.78,,0,,,Carrefour,Sousse
Yaourt à boire Ptit délice banane biscuit,1,Produits Laitiers,0.78,,0,,,Carrefour,Ariana
Yaourt à boire Danao pêche abricot,1,Produits Laitiers,1.18,,0,,,Carrefour,Tunis
Fromage fondu à tartiner Tarti doux,1,Produits Laitiers,6.29,,0,,,Carrefour,Sousse
Yaourt à boire max aux fruits des bois,1,Produits Laitiers,1.76,,0,,,Carrefour,Ariana
Yaourt le brassé saveur fraise,1,Produits Laitiers,0.84,,0,,,Carrefour,Tunis
Smoothie goût pêche-pomme-poire,1,Produits Laitiers,1.05,,0,,,Carrefour,Sousse
Smoothie saveur exotique,1,Produits Laitiers,1.05,,0,,,Carrefour,Ariana
Lait demi-écrémé sans lactose U.H.T,1,Produits Laitiers,2.55,,0,,,Carrefour,Tunis
Yaourt aux mûres et noix fekia,1,Produits Laitiers,0.95,,0,,,Carrefour,Sousse
Œufs Ovolina frais jaune orange,1,Produits Laitiers,14.41,,0,,,Carrefour,Ariana
Œufs frais omega 3,1,Produits Laitiers,14.29,,0,,,Carrefour,Tunis
Yaourt brassé ananas,1,Produits Laitiers,0.84,,0,,,Carrefour,Sousse
Yaourt brassé pêche abricot,1,Produits Laitiers,0.84,,0,,,Carrefour,Ariana
Fromage Reblochon,1,Produits Laitiers,61.8,,0,,,Carrefour,Tunis
Fromage Burrata,1,Produits Laitiers,13.99,,0,,,Carrefour,Sousse
Fromage fondu à tartiner STREET & CO,1,Produits Laitiers,2.89,,0,,,Carrefour,Ariana
Fromage fondu à tartiner STREET & CO,1,Produits Laitiers,8.89,,0,,,Carrefour,Tunis
Œufs frais jaune jaune ovolina,1,Produits Laitiers,13.17,,0,,,Carrefour,Sousse
Fromage râpé 100% lait,1,Produits Laitiers,16.78,,0,,,Carrefour,Ariana
Portions de fromage,1,Produits Laitiers,14.88,,0,,,Carrefour,Tunis
Râpé 4 fromages,1,Produits Laitiers,25.48,,0,,,Carrefour,Sousse
Fromage carré sans sel,1,Produits Laitiers,37.2,,0,,,Carrefour,Ariana
Œufs Les brunes CHAHIA,1,Produits Laitiers,4.24,,0,,,Carrefour,Tunis
Œufs Les brunes CHAHIA,1,Produits Laitiers,8.55,,0,,,Carrefour,Sousse
Œufs Les brunes CHAHIA,1,Produits Laitiers,16.59,,0,,,Carrefour,Ariana
Yaourt à boire granola VITALAIT,1,Produits Laitiers,0.93,,0,,,Carrefour,Tunis
Fromage rapé LAND'OR,1,Produits Laitiers,13.68,,0,,,Carrefour,Sousse
Lait concentré sucré au lait entier NESTLÉ,1,Produits Laitiers,7.55,,0,,,Carrefour,Ariana
Fromage fondu à l'emmental,1,Produits Laitiers,4.82,,0,,,Carrefour,Tunis
Mozzarella traditionnelle,1,Produits Laitiers,54.7,,0,,,Carrefour,Sousse
Fromage fumé Scamorza,1,Produits Laitiers,26.99,,0,,,Carrefour,Ariana
Fromage rapé Pecorino Romano,1,Produits Laitiers,20.39,,0,,,Carrefour,Tunis
Fromage Granello,1,Produits Laitiers,10.19,,0,,,Carrefour,Sousse
Yaourt à boire pina colada,1,Produits Laitiers,0.94,,0,,,Carrefour,Ariana
Margarine tartine et cuisson,1,Produits Laitiers,23.0,,0,,,Carrefour,Tunis
Plateau de fromage,1,Produits Laitiers,38.9,,0,,,Carrefour,Sousse
Fromage râpé emmental,1,Produits Laitiers,5.98,,0,,,Carrefour,Ariana
Fromage en tranches hamburger,1,Produits Laitiers,2.94,,0,,,Carrefour,Tunis
Fromage tranche Burger cheddar,1,Produits Laitiers,4.86,,0,,,Carrefour,Sousse
Fromage emmental râpé cheese,1,Produits Laitiers,1.28,,0,,,Carrefour,Ariana
Fromage à l'emmental râpé fondant,1,Produits Laitiers,1.99,,0,,,Carrefour,Tunis
Fromage edam,1,Produits Laitiers,0.74,,0,,,Carrefour,Sousse
Fromage frais à la Truffe,1,Produits Laitiers,9.69,,0,,,Carrefour,Ariana
Fromage frais au Saumon fumé,1,Produits Laitiers,9.69,,0,,,Carrefour,Tunis
Salacube,1,Produits Laitiers,13.69,,0,,,Carrefour,Sousse
Fromage frais ail et fines herbes,1,Produits Laitiers,8.28,,0,,,Carrefour,Tunis
Fromage Rainoir à pâte pressée,1,Produits Laitiers,62.5,,0,,,Carrefour,Sousse
Fromage raclette à pâte pressée,1,Produits Laitiers,59.6,,0,,,Carrefour,Ariana
Bûchette fromage au lait de vache,1,Produits Laitiers,11.09,,0,,,Carrefour,Tunis
Ricotta traditionnelle,1,Produits Laitiers,20.5,,0,,,Carrefour,Sousse
Fromage Mozzarelle,1,Produits Laitiers,6.79,,0,,,Carrefour,Ariana
Yaourt orange,1,Produits Laitiers,0.43,,0,,,Carrefour,Tunis
Lait concentré,1,Produits Laitiers,7.69,,0,,,Carrefour,Sousse
Lait concentré sucré,1,Produits Laitiers,19.57,,0,,,Carrefour,Ariana
Boisson lactée goût vanille Délisso,1,Produits Laitiers,0.52,,0,,,Carrefour,Tunis
Boisson lactée goût fraise Délisso,1,Produits Laitiers,0.92,,0,,,Carrefour,Sousse
Fromage râpé,1,Produits Laitiers,9.99,,0,,,Carrefour,Ariana
Boisson lactée  tropical multivitaminé Danao,1,Produits Laitiers,1.0,,0,,,Carrefour,Tunis
Yaourt étuvé citron,1,Produits Laitiers,0.54,,0,,,Carrefour,Sousse
Œufs de caille,1,Produits Laitiers,5.79,,0,,,Carrefour,Ariana
Fromage Mozzarella 100% lait,1,Produits Laitiers,52.8,,0,,,Carrefour,Tunis
Yaourt à boire Danup Mojito Menthe,1,Produits Laitiers,1.2,,0,,,Carrefour,Sousse
Fromage Mozzarella cerises,1,Produits Laitiers,49.6,,0,,,Carrefour,Ariana
Fromage rouge Edam,1,Produits Laitiers,43.99,,0,,,Carrefour,Tunis
Yaourt pomme,1,Produits Laitiers,0.54,,0,,,Carrefour,Sousse
Yaourt fruits exotiques,1,Produits Laitiers,0.54,,0,,,Carrefour,Ariana
Yaourt aromatisé fruits des bois,1,Produits Laitiers,0.54,,0,,,Carrefour,Tunis
Yaourt aromatisé pêche abricot,1,Produits Laitiers,0.54,,0,,,Carrefour,Sousse
Yaourt aromatisé noix de coco,1,Produits Laitiers,0.54,,0,,,Carrefour,Ariana
Yaourt aromatisé fraise,1,Produits Laitiers,0.54,,0,,,Carrefour,Tunis
Yaourt aromatisé vanille,1,Produits Laitiers,0.54,,0,,,Carrefour,Sousse
Yaourt nature,1,Produits Laitiers,0.54,,0,,,Carrefour,Ariana
"Lait caillé ""raieb""",1,Produits Laitiers,1.49,,0,,,Carrefour,Tunis
Boisson lactée pomme et poire,1,Produits Laitiers,0.99,,0,,,Carrefour,Sousse
Crème dessert à boire choco-nuts Plaisir,1,Produits Laitiers,1.39,,0,,,Carrefour,Ariana
Yaourt aromatisé banane,1,Produits Laitiers,0.54,,0,,,Carrefour,Tunis
Fromage râpé spécial gratin,1,Produits Laitiers,5.4,,0,,,Carrefour,Sousse
Fromage à l'Emmental,1,Produits Laitiers,88.5,,0,,,Carrefour,Ariana
Fromage Paella,1,Produits Laitiers,21.6,,0,,,Carrefour,Tunis
Fromage râpé fondu à la Mozzarella,1,Produits Laitiers,24.9,,0,,,Carrefour,Sousse
Mozzarella traditionnelle,1,Produits Laitiers,54.6,,0,,,Carrefour,Ariana
Ricotta,1,Produits Laitiers,14.6,,0,,,Carrefour,Tunis
Fromage sicilien affiné,1,Produits Laitiers,56.3,,0,,,Carrefour,Sousse
Fromage gouda jaune,1,Produits Laitiers,49.6,,0,,,Carrefour,Ariana
Fromage sardaigne frais,1,Produits Laitiers,26.9,,0,,,Carrefour,Tunis
Fromage edam,1,Produits Laitiers,47.6,,0,,,Carrefour,Sousse
Fromage râpé à l'Emmental,1,Produits Laitiers,36.4,,0,,,Carrefour,Ariana
Fromage au Gruyère,1,Produits Laitiers,33.7,,0,,,Carrefour,Tunis
Fromage au Cheddar,1,Produits Laitiers,33.7,,0,,,Carrefour,Sousse
Fromage râpé au Cheddar,1,Produits Laitiers,36.4,,0,,,Carrefour,Ariana
Fromage edam 100% lait,1,Produits Laitiers,59.8,,0,,,Carrefour,Tunis
Bûche de chèvre blanc,1,Produits Laitiers,115.5,,0,,,Carrefour,Sousse
Fromage Gruyère sans sel,1,Produits Laitiers,68.2,,0,,,Carrefour,Ariana
Fromage Bleu,1,Produits Laitiers,107.5,,0,,,Carrefour,Tunis
Fromage edam meule,1,Produits Laitiers,51.9,,0,,,Carrefour,Sousse
Fromage gouda jaune,1,Produits Laitiers,51.9,,0,,,Carrefour,Tunis
Fromage extra edam meule,1,Produits Laitiers,58.6,,0,,,Carrefour,Sousse
Fromage sicilien frais 0% MG,1,Produits Laitiers,26.5,,0,,,Carrefour,Ariana
Fromage râpé au Gruyère,1,Produits Laitiers,33.9,,0,,,Carrefour,Tunis
Fromage au gruyère,1,Produits Laitiers,22.5,,0,,,Carrefour,Sousse
Fromage au cheddar,1,Produits Laitiers,22.5,,0,,,Carrefour,Ariana
Fromage meule pyrénée,1,Produits Laitiers,37.4,,0,,,Carrefour,Tunis
Fromage fondant râpé,1,Produits Laitiers,13.3,,0,,,Carrefour,Sousse
Fromage pour pizza cheese,1,Produits Laitiers,25.2,,0,,,Carrefour,Ariana
Fromage Mozzarella pour pizza,1,Produits Laitiers,16.8,,0,,,Carrefour,Tunis
Préparation alimentaire râpé au Gruyère,1,Produits Laitiers,18.6,,0,,,Carrefour,Sousse
Préparation alimentaire râpé à la Mozzarella,1,Produits Laitiers,17.6,,0,,,Carrefour,Ariana
Préparation alimentaire à la Mozzarella fino,1,Produits Laitiers,17.4,,0,,,Carrefour,Tunis
Fromage gruyère fondu,1,Produits Laitiers,35.9,,0,,,Carrefour,Sousse
Fromage cheddar fondu,1,Produits Laitiers,35.6,,0,,,Carrefour,Ariana
Préparation alimentaire,1,Produits Laitiers,24.9,,0,,,Carrefour,Tunis
Crème fraîche semi-épaisse,1,Produits Laitiers,1.04,,0,,,Carrefour,Sousse
Crème fraîche légère semi-épaisse à 15% de matière grasse,1,Produits Laitiers,3.1,,0,,,Carrefour,Ariana
"Lait caillé ""Raieb""",1,Produits Laitiers,1.69,,0,,,Carrefour,Tunis
"Lait fermenté ""Leben""",1,Produits Laitiers,1.69,,0,,,Carrefour,Sousse
Yaourt dessert zgougou,1,Produits Laitiers,0.95,,0,,,Carrefour,Ariana
Préparation alimentaire fondu,1,Produits Laitiers,3.89,,0,,,Carrefour,Tunis
Nwaser,1,Produits Laitiers,5.5,,0,,,Carrefour,Sousse
Fromage Edam en boule,1,Produits Laitiers,51.9,,0,,,Carrefour,Ariana
Fromage Gruyère,1,Produits Laitiers,63.2,,0,,,Carrefour,Tunis
Fromage râpé mozzarella 100% lait,1,Produits Laitiers,43.9,,0,,,Carrefour,Sousse
Fromage brie de Tebourba,1,Produits Laitiers,61.9,,0,,,Carrefour,Ariana
Fromage sans sel,1,Produits Laitiers,43.5,,0,,,Carrefour,Tunis
Fromage maasdam Hollande,1,Produits Laitiers,59.8,,0,,,Carrefour,Sousse
Yaourt à boire chocolat Plaisir,1,Produits Laitiers,1.05,,0,,,Carrefour,Ariana
Préparation alimentaire à la mozzarella Pizzatella,1,Produits Laitiers,2.25,,0,,,Carrefour,Tunis
Préparation alimentaire à la mozzarella Pizzatella,1,Produits Laitiers,6.79,,0,,,Carrefour,Sousse
4 Fromages râpés Rap'cheez,1,Produits Laitiers,46.9,,0,,,Carrefour,Ariana
Fromage Gouda jaune,1,Produits Laitiers,4.39,,0,,,Carrefour,Tunis
Fromage râpé au gruyère,1,Produits Laitiers,6.68,,0,,,Carrefour,Sousse
Formage mozzarella,1,Produits Laitiers,6.65,,0,,,Carrefour,Ariana
Fromage Edam rouge,1,Produits Laitiers,4.92,,0,,,Carrefour,Tunis
Fromage sicilien affiné,1,Produits Laitiers,4.68,,0,,,Carrefour,Sousse
Fromage râpé à l'emmental,1,Produits Laitiers,37.2,,0,,,Carrefour,Ariana
Fromage Gruyère,1,Produits Laitiers,70.5,,0,,,Carrefour,Tunis
Fromage Chantale noire,1,Produits Laitiers,45.2,,0,,,Carrefour,Sousse
Fromage râpé au gruyère 100% lait,1,Produits Laitiers,59.8,,0,,,Carrefour,Ariana
Fromage salé Sicilien,1,Produits Laitiers,37.2,,0,,,Carrefour,Tunis
Fromage Edam en boule,1,Produits Laitiers,43.9,,0,,,Carrefour,Sousse
Yaourt à boire Natiyo tropical guarana,1,Produits Laitiers,0.94,,0,,,Carrefour,Ariana
Fromage gruyère,1,Produits Laitiers,55.9,,0,,,Carrefour,Tunis
Fromage blanc fondu Carré,1,Produits Laitiers,5.8,,0,,,Carrefour,Sousse
Fromage mozzarella,1,Produits Laitiers,43.5,,0,,,Carrefour,Ariana
Margarine tartine et cuisson,1,Produits Laitiers,2.09,,0,,,Carrefour,Tunis
Préparation alimentaire râpé,1,Produits Laitiers,9.78,,0,,,Carrefour,Sousse
Fromage fondu à tartiner,1,Produits Laitiers,14.59,,0,,,Carrefour,Tunis
Fromage Maasdam Jack Cheese,1,Produits Laitiers,71.5,,0,,,Carrefour,Sousse
Fromage mozzarella,1,Produits Laitiers,36.5,,0,,,Carrefour,Ariana
Fromage mozzarella,1,Produits Laitiers,46.5,,0,,,Carrefour,Tunis
Fromage Sardaigne blanc,1,Produits Laitiers,43.5,,0,,,Carrefour,Sousse
Ricotta traditionnelle,1,Produits Laitiers,3.4,,0,,,Carrefour,Ariana
Crème dessert vanille,1,Produits Laitiers,0.78,,0,,,Carrefour,Tunis
Crème dessert noisette,1,Produits Laitiers,0.78,,0,,,Carrefour,Sousse
Crème dessert chocolat,1,Produits Laitiers,0.78,,0,,,Carrefour,Ariana
Fromage fondu râpé à l'emmental,1,Produits Laitiers,15.99,,0,,,Carrefour,Tunis
